system:index,elevation,latitude,longitude,.geo
50,15,16.47123873,80.68884552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6888455216785,16.471238734300748]}"
51,14,16.47123873,80.68911502,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68911501626377,16.471238734300748]}"
52,16,16.47123873,80.68938451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68938451084898,16.471238734300748]}"
53,17,16.47123873,80.68965401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68965400543425,16.471238734300748]}"
54,15,16.47123873,80.6899235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68992350001946,16.471238734300748]}"
55,17,16.47123873,80.69019299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69019299460473,16.471238734300748]}"
56,16,16.47123873,80.69046249,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69046248918994,16.471238734300748]}"
57,17,16.47123873,80.69073198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69073198377521,16.471238734300748]}"
58,18,16.47123873,80.69100148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69100147836042,16.471238734300748]}"
59,17,16.47123873,80.69127097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69127097294563,16.471238734300748]}"
60,16,16.47123873,80.69154047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6915404675309,16.471238734300748]}"
61,17,16.47123873,80.69180996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69180996211611,16.471238734300748]}"
62,16,16.47123873,80.69207946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69207945670138,16.471238734300748]}"
63,18,16.47123873,80.69234895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69234895128659,16.471238734300748]}"
64,15,16.47123873,80.69261845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69261844587186,16.471238734300748]}"
65,18,16.47123873,80.69288794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69288794045707,16.471238734300748]}"
66,19,16.47123873,80.69315744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69315743504228,16.471238734300748]}"
67,20,16.47123873,80.69342693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69342692962755,16.471238734300748]}"
68,21,16.47123873,80.69369642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69369642421276,16.471238734300748]}"
